number,step,surface,valid_time,t2m
0,0 days,0.0,2007-01-04 16:00:00,274.12067
0,0 days,0.0,2007-01-04 16:00:00,274.05014
0,0 days,0.0,2007-01-04 17:00:00,274.16522
0,0 days,0.0,2007-01-04 17:00:00,274.10757
0,0 days,0.0,2007-01-04 18:00:00,274.2365
0,0 days,0.0,2007-01-04 18:00:00,274.1931
0,0 days,0.0,2007-01-04 19:00:00,274.30646
0,0 days,0.0,2007-01-04 19:00:00,274.19873
0,0 days,0.0,2007-01-04 20:00:00,274.3059
0,0 days,0.0,2007-01-04 20:00:00,274.25357
0,0 days,0.0,2007-01-04 21:00:00,274.3265
0,0 days,0.0,2007-01-04 21:00:00,274.27472
0,0 days,0.0,2007-01-04 22:00:00,274.32907
0,0 days,0.0,2007-01-04 22:00:00,274.28012
0,0 days,0.0,2007-01-04 23:00:00,274.43573
0,0 days,0.0,2007-01-04 23:00:00,274.3834
0,0 days,0.0,2007-01-05 00:00:00,274.4965
0,0 days,0.0,2007-01-05 00:00:00,274.43185
0,0 days,0.0,2007-01-05 01:00:00,274.52094
0,0 days,0.0,2007-01-05 01:00:00,274.4868
0,0 days,0.0,2007-01-05 02:00:00,274.5575
0,0 days,0.0,2007-01-05 02:00:00,274.5155
0,0 days,0.0,2007-01-05 03:00:00,274.48355
0,0 days,0.0,2007-01-05 03:00:00,274.42676
0,0 days,0.0,2007-01-05 04:00:00,274.37643
0,0 days,0.0,2007-01-05 04:00:00,274.35153
0,0 days,0.0,2007-01-05 05:00:00,274.2855
0,0 days,0.0,2007-01-05 05:00:00,274.29694
0,0 days,0.0,2007-01-05 06:00:00,274.3015
0,0 days,0.0,2007-01-05 06:00:00,274.2889
0,0 days,0.0,2007-01-05 07:00:00,274.27554
0,0 days,0.0,2007-01-05 07:00:00,274.27023
0,0 days,0.0,2007-01-05 08:00:00,274.22705
0,0 days,0.0,2007-01-05 08:00:00,274.2326
0,0 days,0.0,2007-01-05 09:00:00,274.2683
0,0 days,0.0,2007-01-05 09:00:00,274.2988
0,0 days,0.0,2007-01-05 10:00:00,274.3414
0,0 days,0.0,2007-01-05 10:00:00,274.3596
0,0 days,0.0,2007-01-05 11:00:00,274.32916
